Customer ID,Product ID,Postal Code,Ship Date,Ship Mode,Sales,Quantity,Discount,Profit,Order ID
DP-13000,OFF-BI-10004410,47150,2015-04-22,Standard Class,38.22,6,0.0,17.9634,CA-2015-115742
DP-13000,OFF-LA-10002762,47150,2015-04-22,Standard Class,75.18,6,0.0,35.3346,CA-2015-115742
DP-13000,FUR-FU-10001706,47150,2015-04-22,Standard Class,6.16,2,0.0,2.9568,CA-2015-115742
DP-13000,FUR-CH-10003061,47150,2015-04-22,Standard Class,89.99,1,0.0,17.0981,CA-2015-115742
JM-15265,OFF-FA-10000304,10024,2016-12-17,Standard Class,15.26,7,0.0,6.2566,CA-2016-105816
JM-15265,TEC-PH-10002447,10024,2016-12-17,Standard Class,1029.95,5,0.0,298.6855,CA-2016-105816
TB-21055,OFF-ST-10000604,12180,2016-06-18,First Class,208.56,6,0.0,52.14,CA-2016-111682
TB-21055,OFF-PA-10001569,12180,2016-06-18,First Class,32.4,5,0.0,15.552,CA-2016-111682
TB-21055,FUR-CH-10003968,12180,2016-06-18,First Class,319.41,5,0.1,7.098,CA-2016-111682
TB-21055,OFF-PA-10000587,12180,2016-06-18,First Class,14.56,2,0.0,6.9888,CA-2016-111682
TB-21055,TEC-AC-10002167,12180,2016-06-18,First Class,30.0,2,0.0,3.3,CA-2016-111682
TB-21055,OFF-BI-10001460,12180,2016-06-18,First Class,48.48,4,0.2,16.362,CA-2016-111682
TB-21055,OFF-AR-10001868,12180,2016-06-18,First Class,1.68,1,0.0,0.84,CA-2016-111682
KM-16720,TEC-AC-10004633,90004,2015-11-30,Standard Class,13.98,2,0.0,6.1512,CA-2015-135545
KM-16720,OFF-BI-10001078,90004,2015-11-30,Standard Class,25.824,6,0.2,9.3612,CA-2015-135545
KM-16720,OFF-PA-10003892,90004,2015-11-30,Standard Class,146.73,3,0.0,68.9631,CA-2015-135545
KM-16720,FUR-FU-10000397,90004,2015-11-30,Standard Class,79.76,4,0.0,22.3328,CA-2015-135545
PS-18970,FUR-CH-10001146,60610,2015-05-05,Standard Class,213.115,5,0.3,-15.2225,US-2015-164175
BS-11590,OFF-AR-10002671,85234,2014-12-10,Standard Class,1113.024,8,0.2,111.3024,CA-2014-106376
BS-11590,TEC-PH-10002726,85234,2014-12-10,Standard Class,167.968,4,0.2,62.988,CA-2014-106376
KD-16270,OFF-PA-10000482,22153,2016-06-06,First Class,75.88,2,0.0,35.6636,CA-2016-119823
HM-14980,OFF-BI-10004654,10009,2016-09-23,Standard Class,4.616,1,0.2,1.731,CA-2016-106075
TB-21520,OFF-PA-10004675,49201,2017-09-17,Second Class,19.05,3,0.0,8.763,CA-2017-114440
JE-15745,FUR-CH-10000513,38109,2015-05-02,Standard Class,831.936,8,0.2,-114.3912,US-2015-134026
JE-15745,FUR-FU-10003708,38109,2015-05-02,Standard Class,97.04,2,0.2,1.213,US-2015-134026
JE-15745,OFF-ST-10004123,38109,2015-05-02,Standard Class,72.784,1,0.2,-18.196,US-2015-134026
KB-16600,OFF-BI-10004182,77041,2017-12-11,First Class,1.248,3,0.8,-1.9344,US-2017-118038
KB-16600,FUR-FU-10000260,77041,2017-12-11,First Class,9.708,3,0.6,-5.8248,US-2017-118038
KB-16600,OFF-ST-10000615,77041,2017-12-11,First Class,27.24,3,0.2,2.724,US-2017-118038
JE-15745,FUR-FU-10003194,77070,2014-12-01,Second Class,19.3,5,0.6,-14.475,US-2014-147606
SC-20770,OFF-AP-10002118,35601,2016-06-15,First Class,208.16,1,0.0,56.2032,CA-2016-127208
SC-20770,OFF-BI-10002309,35601,2016-06-15,First Class,16.74,3,0.0,8.0352,CA-2016-127208
DN-13690,OFF-AR-10002053,94122,2014-10-16,Standard Class,14.9,5,0.0,4.172,CA-2014-139451
DN-13690,OFF-ST-10002370,94122,2014-10-16,Standard Class,21.39,1,0.0,6.2031,CA-2014-139451
JC-16105,OFF-EN-10000927,27707,2015-09-08,Standard Class,200.984,7,0.2,62.8075,CA-2015-149734
CS-12400,OFF-ST-10003656,60623,2017-11-16,First Class,230.376,3,0.2,-48.9549,US-2017-119662
PO-18865,FUR-CH-10000863,29203,2017-05-30,Second Class,301.96,2,0.0,33.2156,CA-2017-140088
PG-18895,TEC-AC-10001998,55901,2017-11-02,Standard Class,19.99,1,0.0,6.7966,CA-2017-155558
PG-18895,OFF-LA-10000134,55901,2017-11-02,Standard Class,6.16,2,0.0,2.9568,CA-2017-155558
GM-14455,OFF-ST-10003442,77095,2016-04-10,Second Class,158.368,7,0.2,13.8572,CA-2016-159695
JS-15685,OFF-AR-10004930,90036,2016-09-22,Standard Class,20.1,3,0.0,6.633,CA-2016-109806
JS-15685,TEC-PH-10004093,90036,2016-09-22,Standard Class,73.584,2,0.2,8.2782,CA-2016-109806
JS-15685,OFF-PA-10000304,90036,2016-09-22,Standard Class,6.48,1,0.0,3.1104,CA-2016-109806
KB-16315,OFF-PA-10003177,55407,2015-02-05,Second Class,12.96,2,0.0,6.2208,CA-2015-149587
KB-16315,FUR-FU-10003799,55407,2015-02-05,Second Class,53.34,3,0.0,16.5354,CA-2015-149587
KB-16315,OFF-BI-10002852,55407,2015-02-05,Second Class,32.96,2,0.0,16.1504,CA-2015-149587
RB-19705,OFF-BI-10004738,97206,2017-11-12,Standard Class,5.682,1,0.7,-3.788,US-2017-109484
PN-18775,FUR-FU-10000629,10009,2017-11-11,Second Class,96.53,7,0.0,40.5426,CA-2017-161018
KD-16345,OFF-BI-10001721,94122,2017-06-20,First Class,51.312,3,0.2,17.9592,CA-2017-157833
ER-13855,OFF-AP-10000358,55106,2016-09-11,Standard Class,77.88,6,0.0,22.5852,CA-2016-149223
RB-19465,OFF-PA-10003256,60610,2016-09-02,Standard Class,64.624,7,0.2,22.6184,CA-2016-158568
RB-19465,TEC-AC-10001767,60610,2016-09-02,Standard Class,95.976,3,0.2,-10.7973,CA-2016-158568
RB-19465,OFF-BI-10002609,60610,2016-09-02,Standard Class,1.788,3,0.8,-3.0396,CA-2016-158568
GZ-14470,OFF-PA-10004040,55901,2016-12-04,Second Class,23.92,4,0.0,11.7208,CA-2016-129903
LC-16870,TEC-AC-10001552,80013,2015-11-17,Standard Class,238.896,6,0.2,-26.8758,US-2015-156867
LC-16870,FUR-FU-10004006,80013,2015-11-17,Standard Class,102.36,3,0.2,-3.8385,US-2015-156867
LC-16870,OFF-BI-10002794,80013,2015-11-17,Standard Class,36.882,3,0.7,-25.8174,US-2015-156867
JM-15250,TEC-AC-10003499,28205,2017-11-28,Standard Class,74.112,8,0.2,17.6016,CA-2017-119004
JM-15250,TEC-PH-10002844,28205,2017-11-28,Standard Class,27.992,1,0.2,2.0994,CA-2017-119004
JM-15250,OFF-AR-10000390,28205,2017-11-28,Standard Class,3.304,1,0.2,1.0738,CA-2017-119004
PA-19060,TEC-AC-10000844,60462,2015-10-20,Standard Class,339.96,5,0.2,67.992,CA-2015-129476
CV-12805,FUR-FU-10001934,10035,2017-12-30,Standard Class,41.96,2,0.0,10.9096,CA-2017-146780
CL-12565,OFF-AR-10000380,50322,2016-11-10,Standard Class,75.96,2,0.0,22.788,CA-2016-128867
CL-12565,OFF-BI-10003981,50322,2016-11-10,Standard Class,27.24,6,0.0,13.3476,CA-2016-128867
RC-19960,OFF-FA-10000621,43229,2014-08-27,Second Class,40.096,14,0.2,14.5348,CA-2014-115259
RC-19960,OFF-EN-10002600,43229,2014-08-27,Second Class,4.72,2,0.2,1.652,CA-2014-115259
RC-19960,OFF-PA-10004965,43229,2014-08-27,Second Class,23.976,3,0.2,7.4925,CA-2014-115259
RC-19960,OFF-EN-10002504,43229,2014-08-27,Second Class,130.464,6,0.2,44.0316,CA-2014-115259
DK-13090,FUR-TA-10001768,98103,2015-03-06,Standard Class,787.53,3,0.0,165.3813,CA-2015-110457
GG-14650,OFF-BI-10003650,37620,2015-04-10,Standard Class,157.794,1,0.7,-115.7156,US-2015-136476
SC-20725,FUR-FU-10002157,19805,2016-06-15,First Class,47.04,3,0.0,18.3456,CA-2016-103730
SC-20725,OFF-BI-10003910,19805,2016-06-15,First Class,30.84,4,0.0,13.878,CA-2016-103730
SC-20725,OFF-ST-10000777,19805,2016-06-15,First Class,226.56,6,0.0,63.4368,CA-2016-103730
SC-20725,OFF-EN-10002500,19805,2016-06-15,First Class,115.02,9,0.0,51.759,CA-2016-103730
SC-20725,TEC-PH-10003875,19805,2016-06-15,First Class,68.04,7,0.0,19.7316,CA-2016-103730
AD-10180,FUR-CH-10004063,77041,2014-12-28,Second Class,600.558,3,0.3,-8.5794,US-2014-152030
PF-19165,FUR-TA-10004534,61701,2014-09-25,Standard Class,617.7,6,0.5,-407.682,US-2014-134614
TS-21610,OFF-BI-10003274,85023,2017-11-12,Standard Class,2.388,2,0.7,-1.8308,US-2017-107272
TS-21610,OFF-ST-10002974,85023,2017-11-12,Standard Class,243.992,7,0.2,30.499,US-2017-107272
LS-16975,FUR-CH-10001146,90004,2016-11-10,Second Class,81.424,2,0.2,-9.1602,US-2016-125969
LS-16975,FUR-FU-10003773,90004,2016-11-10,Second Class,238.56,3,0.0,26.2416,US-2016-125969
DW-13585,TEC-PH-10002293,43229,2017-02-05,First Class,59.97,5,0.4,-11.994,US-2017-164147
DW-13585,OFF-PA-10002377,43229,2017-02-05,First Class,78.304,2,0.2,29.364,US-2017-164147
DW-13585,OFF-FA-10002780,43229,2017-02-05,First Class,21.456,9,0.2,6.9732,US-2017-164147
LC-16885,OFF-PA-10001804,95661,2016-10-19,Standard Class,20.04,3,0.0,9.6192,CA-2016-145583
LC-16885,OFF-PA-10001736,95661,2016-10-19,Standard Class,35.44,1,0.0,16.6568,CA-2016-145583
LC-16885,OFF-AR-10001149,95661,2016-10-19,Standard Class,11.52,4,0.0,3.456,CA-2016-145583
LC-16885,OFF-FA-10002988,95661,2016-10-19,Standard Class,4.02,2,0.0,1.9698,CA-2016-145583
LC-16885,OFF-BI-10004781,95661,2016-10-19,Standard Class,76.176,3,0.2,26.6616,CA-2016-145583
LC-16885,OFF-SU-10001218,95661,2016-10-19,Standard Class,65.88,6,0.0,18.4464,CA-2016-145583
LC-16885,FUR-FU-10001706,95661,2016-10-19,Standard Class,43.12,14,0.0,20.6976,CA-2016-145583
JD-15895,FUR-FU-10004848,19140,2016-09-07,Second Class,82.8,2,0.2,10.35,CA-2016-110366
SH-19975,OFF-AR-10000940,94122,2017-09-23,Standard Class,8.82,3,0.0,2.3814,CA-2017-106180
SH-19975,OFF-EN-10004030,94122,2017-09-23,Standard Class,10.86,3,0.0,5.1042,CA-2017-106180
SH-19975,OFF-PA-10004327,94122,2017-09-23,Standard Class,143.7,3,0.0,68.976,CA-2017-106180
SG-20080,OFF-AP-10001058,64055,2017-12-27,Standard Class,839.43,3,0.0,218.2518,CA-2017-155376
HA-14920,OFF-ST-10003656,91104,2015-09-12,Standard Class,671.93,7,0.0,20.1579,CA-2015-110744
MG-17680,FUR-FU-10000521,43055,2014-10-28,Standard Class,93.888,4,0.2,12.9096,CA-2014-110072
JE-16165,TEC-PH-10000215,53132,2016-12-09,Standard Class,384.45,11,0.0,103.8015,CA-2016-114489
JE-16165,TEC-PH-10001448,53132,2016-12-09,Standard Class,149.97,3,0.0,5.9988,CA-2016-114489
JE-16165,FUR-CH-10000454,53132,2016-12-09,Standard Class,1951.84,8,0.0,585.552,CA-2016-114489
JE-16165,OFF-BI-10002735,53132,2016-12-09,Standard Class,171.55,5,0.0,80.6285,CA-2016-114489
TW-21025,OFF-AP-10000326,85254,2016-03-16,First Class,157.92,5,0.2,17.766,CA-2016-158834
TW-21025,TEC-PH-10001254,85254,2016-03-16,First Class,203.184,2,0.2,15.2388,CA-2016-158834
SP-20650,OFF-PA-10001950,95123,2015-06-02,First Class,58.38,7,0.0,26.271,CA-2015-124919
SP-20650,OFF-PA-10002254,95123,2015-06-02,First Class,105.52,4,0.0,48.5392,CA-2015-124919
SP-20650,OFF-ST-10001590,95123,2015-06-02,First Class,80.88,6,0.0,21.0288,CA-2015-124919
NK-18490,OFF-AR-10001547,98105,2015-06-03,Standard Class,6.63,3,0.0,1.7901,CA-2015-118948
DB-13060,FUR-CH-10004063,98115,2014-03-06,Second Class,457.568,2,0.2,51.4764,CA-2014-104269
NP-18670,OFF-LA-10002475,73034,2016-11-24,Standard Class,14.62,2,0.0,6.8714,CA-2016-114104
NP-18670,TEC-PH-10004536,73034,2016-11-24,Standard Class,944.93,7,0.0,236.2325,CA-2016-114104
TT-21070,OFF-PA-10002751,90045,2016-05-12,First Class,5.98,1,0.0,2.691,CA-2016-162733
EM-13960,TEC-AC-10003657,19134,2015-12-31,Second Class,54.384,2,0.2,1.3596,CA-2015-119697
RD-19900,OFF-EN-10001990,88220,2016-11-20,Standard Class,28.4,5,0.0,13.348,CA-2016-154508
MJ-17740,OFF-BI-10004002,98115,2016-11-11,Standard Class,27.68,2,0.2,9.688,CA-2016-113817
BM-11140,OFF-AR-10004441,78207,2014-09-12,Standard Class,9.936,3,0.2,2.7324,CA-2014-139892
BM-11140,TEC-MA-10000822,78207,2014-09-12,Standard Class,8159.952,8,0.4,-1359.992,CA-2014-139892
BM-11140,OFF-ST-10000991,78207,2014-09-12,Standard Class,275.928,3,0.2,-58.6347,CA-2014-139892
BM-11140,FUR-CH-10004287,78207,2014-09-12,Standard Class,1740.06,9,0.3,-24.858,CA-2014-139892
BM-11140,OFF-AR-10002656,78207,2014-09-12,Standard Class,32.064,6,0.2,6.8136,CA-2014-139892
BM-11140,OFF-AP-10002518,78207,2014-09-12,Standard Class,177.98,5,0.8,-453.849,CA-2014-139892
BM-11140,TEC-PH-10003931,78207,2014-09-12,Standard Class,143.976,3,0.2,8.9985,CA-2014-139892
CS-12130,OFF-PA-10000659,90004,2014-08-09,Standard Class,20.94,3,0.0,9.8418,CA-2014-118962
CS-12130,OFF-PA-10001144,90004,2014-08-09,Standard Class,110.96,2,0.0,53.2608,CA-2014-118962
CS-12130,FUR-CH-10003817,90004,2014-08-09,Standard Class,340.144,7,0.2,21.259,CA-2014-118962
JB-15400,OFF-AP-10000891,60623,2014-09-19,Standard Class,52.448,2,0.8,-131.12,US-2014-100853
JB-15400,OFF-LA-10003148,60623,2014-09-19,Standard Class,20.16,4,0.2,6.552,US-2014-100853
SJ-20500,OFF-AP-10002684,77036,2017-04-25,Second Class,97.264,4,0.8,-243.16,US-2017-152366
JE-15745,FUR-CH-10004698,43055,2015-11-23,Second Class,396.802,7,0.3,-11.3372,US-2015-101511
JE-15745,OFF-SU-10002189,43055,2015-11-23,Second Class,15.88,5,0.2,-3.7715,US-2015-101511
JK-15640,OFF-AR-10001940,10009,2015-12-19,Standard Class,3.28,1,0.0,1.4104,CA-2015-137225
DK-13150,OFF-ST-10003455,62521,2014-12-09,Second Class,24.816,2,0.2,1.8612,CA-2014-166191
DK-13150,TEC-AC-10004659,62521,2014-12-09,Second Class,408.744,7,0.2,76.6395,CA-2014-166191
RM-19675,TEC-PH-10003273,71203,2014-11-24,Second Class,503.96,4,0.0,131.0296,CA-2014-158274
RM-19675,TEC-PH-10004896,71203,2014-11-24,Second Class,149.95,5,0.0,41.986,CA-2014-158274
RM-19675,TEC-AC-10002345,71203,2014-11-24,Second Class,29.0,2,0.0,7.25,CA-2014-158274
SK-19990,OFF-BI-10001890,6824,2016-12-02,Standard Class,7.16,2,0.0,3.4368,CA-2016-105018
FM-14290,TEC-AC-10002323,90032,2014-08-30,Standard Class,176.8,8,0.0,22.984,CA-2014-123260
AM-10360,OFF-ST-10001328,75051,2016-07-22,Standard Class,37.224,3,0.2,3.7224,CA-2016-157000
AM-10360,OFF-PA-10001950,75051,2016-07-22,Standard Class,20.016,3,0.2,6.255,CA-2016-157000
MP-17470,FUR-BO-10002613,10035,2015-10-14,First Class,899.136,4,0.2,112.392,CA-2015-102281
MP-17470,TEC-PH-10001552,10035,2015-10-14,First Class,71.76,6,0.0,20.0928,CA-2015-102281
MP-17470,OFF-PA-10000061,10035,2015-10-14,First Class,51.84,8,0.0,24.8832,CA-2015-102281
MP-17470,FUR-BO-10002545,10035,2015-10-14,First Class,626.352,3,0.2,46.9764,CA-2015-102281
MP-17470,OFF-AR-10003514,10035,2015-10-14,First Class,19.9,5,0.0,6.567,CA-2015-102281
MZ-17515,OFF-EN-10001509,92374,2015-11-06,Standard Class,14.28,7,0.0,6.7116,CA-2015-131457
CB-12025,OFF-AR-10004685,45011,2014-03-25,Standard Class,7.408,2,0.2,1.2038,CA-2014-140004
CB-12025,OFF-AR-10004027,45011,2014-03-25,Standard Class,6.048,3,0.2,1.5876,CA-2014-140004
VM-21685,OFF-ST-10001414,7090,2017-11-13,Standard Class,46.26,3,0.0,12.0276,CA-2017-107720
FH-14365,OFF-BI-10000343,19120,2017-07-13,Standard Class,2.946,2,0.7,-2.2586,US-2017-124303
FH-14365,OFF-PA-10002749,19120,2017-07-13,Standard Class,16.056,3,0.2,5.8203,US-2017-124303
MB-17305,OFF-PA-10002666,44312,2017-06-29,Standard Class,21.744,3,0.2,6.795,CA-2017-105074
BS-11755,FUR-TA-10004289,80219,2014-08-05,First Class,218.75,2,0.5,-161.875,CA-2014-133690
BS-11755,OFF-AP-10003622,80219,2014-08-05,First Class,2.6,1,0.2,0.2925,CA-2014-133690
LC-17140,OFF-AP-10003217,75220,2017-12-21,Second Class,66.284,2,0.8,-178.9668,US-2017-116701
HK-14890,FUR-FU-10002960,37064,2017-06-07,Standard Class,35.168,7,0.2,9.6712,CA-2017-126382
LE-16810,TEC-PH-10001918,90604,2017-12-14,Standard Class,444.768,4,0.2,44.4768,CA-2017-108329
JH-15985,OFF-ST-10000642,48601,2017-12-07,Standard Class,83.92,4,0.0,5.8744,CA-2017-135860
JH-15985,TEC-PH-10001700,48601,2017-12-07,Standard Class,131.98,2,0.0,35.6346,CA-2017-135860
JH-15985,OFF-BI-10003274,48601,2017-12-07,Standard Class,15.92,4,0.0,7.4824,CA-2017-135860
JH-15985,OFF-FA-10000134,48601,2017-12-07,Standard Class,52.29,9,0.0,16.2099,CA-2017-135860
JH-15985,OFF-ST-10001522,48601,2017-12-07,Standard Class,91.99,1,0.0,3.6796,CA-2017-135860
MS-17980,TEC-AC-10001266,75220,2015-02-13,Second Class,20.8,2,0.2,6.5,CA-2015-101007
VW-21775,OFF-LA-10004544,44256,2015-01-09,Standard Class,23.68,2,0.2,8.88,CA-2015-146262
VW-21775,FUR-BO-10004695,44256,2015-01-09,Standard Class,452.45,5,0.5,-244.323,CA-2015-146262
VW-21775,TEC-PH-10002844,44256,2015-01-09,Standard Class,62.982,3,0.4,-14.6958,CA-2015-146262
VW-21775,TEC-MA-10000864,44256,2015-01-09,Standard Class,1188.0,9,0.7,-950.4,CA-2015-146262
VW-21775,TEC-AC-10000109,44256,2015-01-09,Standard Class,89.584,2,0.2,4.4792,CA-2015-146262
JH-15910,OFF-ST-10001328,90032,2016-11-01,Standard Class,93.06,6,0.0,26.0568,CA-2016-130162
JH-15910,TEC-PH-10002563,90032,2016-11-01,Standard Class,302.376,3,0.2,22.6782,CA-2016-130162
JB-15925,OFF-FA-10000585,43017,2015-12-27,First Class,5.584,2,0.2,1.8148,CA-2015-169397
JB-15925,OFF-PA-10004000,43017,2015-12-27,First Class,22.704,6,0.2,8.2302,CA-2015-169397
JB-15925,OFF-BI-10002852,43017,2015-12-27,First Class,19.776,4,0.7,-13.8432,CA-2015-169397
JB-15925,FUR-FU-10000087,43017,2015-12-27,First Class,72.704,4,0.2,19.0848,CA-2015-169397
JB-15925,TEC-MA-10001148,43017,2015-12-27,First Class,479.988,4,0.7,-383.9904,CA-2015-169397
JB-15925,OFF-AR-10001958,43017,2015-12-27,First Class,27.168,2,0.2,2.7168,CA-2015-169397
DS-13180,OFF-AR-10001026,48227,2015-08-16,Standard Class,2.2,1,0.0,0.968,CA-2015-163055
DS-13180,FUR-TA-10003748,48227,2015-08-16,Standard Class,622.45,5,0.0,136.939,CA-2015-163055
DS-13180,OFF-ST-10002485,48227,2015-08-16,Standard Class,21.98,1,0.0,0.2198,CA-2015-163055
VD-21670,FUR-CH-10004860,38401,2015-03-04,Standard Class,161.568,2,0.2,-28.2744,US-2015-145436
VD-21670,FUR-CH-10004477,38401,2015-03-04,Standard Class,389.696,8,0.2,43.8408,US-2015-145436
EA-14035,OFF-BI-10001679,28205,2014-09-17,Standard Class,18.648,7,0.7,-12.432,US-2014-156216
CS-12400,FUR-TA-10001705,33614,2017-04-12,Standard Class,233.86,2,0.45,-102.048,US-2017-100930
CS-12400,FUR-TA-10003473,33614,2017-04-12,Standard Class,620.6145,3,0.45,-248.2458,US-2017-100930
CS-12400,OFF-BI-10001679,33614,2017-04-12,Standard Class,5.328,2,0.7,-3.552,US-2017-100930
CS-12400,FUR-FU-10004017,33614,2017-04-12,Standard Class,258.072,3,0.2,0.0,US-2017-100930
CS-12400,TEC-AC-10003832,33614,2017-04-12,Standard Class,617.976,3,0.2,-7.7247,US-2017-100930
DB-13120,OFF-PA-10002479,95051,2017-11-16,Standard Class,10.56,2,0.0,4.752,CA-2017-160514
KL-16645,OFF-PA-10003349,60610,2016-06-09,Second Class,25.92,5,0.2,9.396,CA-2016-157749
KL-16645,FUR-FU-10000576,60610,2016-06-09,Second Class,419.68,5,0.6,-356.728,CA-2016-157749
KL-16645,FUR-FU-10004351,60610,2016-06-09,Second Class,11.688,3,0.6,-4.6752,CA-2016-157749
KL-16645,TEC-PH-10000011,60610,2016-06-09,Second Class,31.984,2,0.2,11.1944,CA-2016-157749
KL-16645,FUR-TA-10002607,60610,2016-06-09,Second Class,177.225,5,0.5,-120.513,CA-2016-157749
KL-16645,FUR-FU-10002505,60610,2016-06-09,Second Class,4.044,3,0.6,-2.8308,CA-2016-157749
KL-16645,OFF-AR-10004685,60610,2016-06-09,Second Class,7.408,2,0.2,1.2038,CA-2016-157749
DW-13480,FUR-CH-10004063,55044,2014-06-06,Second Class,2001.86,7,0.0,580.5394,CA-2014-131926
DW-13480,OFF-ST-10002276,55044,2014-06-06,Second Class,166.72,2,0.0,41.68,CA-2014-131926
DW-13480,OFF-PA-10004082,55044,2014-06-06,Second Class,47.88,6,0.0,23.94,CA-2014-131926
